Part No.;Type;Manufacture;Terrestrial;Flight;TID-Co60;TID-ELDRS;TID-Protons;TID-Electrons;SEU;SET;SEFI;SEL;SEB;SEGR;Dose Rate;DD-Protons;DD-Neutrons;Facilities;Standard;Environment;Shielding
LM136;Voltage Reference;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
RH1013M;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1021CMW-5;Voltage Reference;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1021CMH-5;Voltage Reference;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1009MW;Voltage Reference;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RHFL4913ESY332;Voltage Regulator;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RHFL4913KP332;Voltage Regulator;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
K9F4G08UOA-PCB0;4Gbit NAND Flash;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
;Phase Change Memory;;Y;;Y;;;;;;;;;;;;;;;;
;Microprocessor 45nm CMOS;;Y;;Y;;;;;;;;;;;;;;;;
;Microprocessor 65nm CMOS;;Y;;Y;;;;;;;;;;;;;;;;
;RadFET;NMRC;Y;;Y;;;;;;;;;;;;;;;;
;ROIC 500nm;;Y;;Y;;;;;;;;;;;;;;;;
;InGaAs QWIP Array and ROIC;;Y;;;;Y;;;;;;;;;;;;;;
TL750L05CDR;Low Dropout Voltage Regulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
T750M05CKTRR;Low Dropout Voltage Regulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
STPSC806D;Power Diode SiC;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
STPSC1006D;Power Diode SiC;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
Test Structure;65 nm transistor CMOS;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
Test Structure;5AM SiGe/BiCMOS;IBM;Y;;Y;;;;;;;;;;;;;;;;
MT29F1G08AAC;1Gbit SLC Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
MT29F2G08AAD;2Gbit SLC Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
MT29F4G08AAC;4Gbit SLC Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
MT29F8G08AAA;8Gbit SLC Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
CT-190;Pressure Transducer;Kulite Semiconductor;Y;;Y;;;;;;;;;;;;Y;;;;
XCE-062;Pressure Transducer;Kulite Semiconductor;Y;;Y;;;;;;;;;;;;Y;;;;
XTE-190;Pressure Transducer;Kulite Semiconductor;Y;;Y;;;;;;;;;;;;Y;;;;
7264;Accelerometer;Endevco;Y;;Y;;;;;;;;;;;;Y;;;;
7270A;Accelerometer;Endevco;Y;;Y;;;;;;;;;;;;Y;;;;
LTC6400;Operational Amplifier;Linear Technology;Y;;;;Y;;;H,P;;;;;;;;;;;
THS4304;Operational Amplifier;Texas Instruments;Y;;;;Y;;;H,P;;;;;;;;;;;
LM4050QML;Voltage Reference;National Semiconductor;Y;;;Y;;;;H;;;;;;;;Y;;;
;Test Facility ELDRS;;;;;;;;;;;;;;;;;Y;;;
;Test Facility Total Ionizing Dose;;;;;;;;;;;;;;;;;Y;;;
;Test Facility Proton;;;;;;;;;;;;;;;;;Y;;;
Guide to the Radiation;Effects Data Workshop 2010;;;;;;;;;;;;;;;;;;;;
AD5544ARS;16 Bit DAC;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
AD585;Sample and old;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
MT29F8G0AAAWP;8 Gbit NAND Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
K9F8G08U0M;8 Gbit NAND Flash;Samsung;Y;;Y;;;;;;;;;;;;;;;;
LM139AWRQMLV;Voltage Comparator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
HS-1840ARH;Analog Multiplexer;Intersil;Y;;Y;;;;;;;;;;;;;;;;
Ram - 6+;RF Amplifier;Mini-Circuits;Y;;;Y;;;;;;;;;;;;;;;
ISL74422ARH/BRH;Power MOSFET Driver;Intersil;Y;;Y;;;;;;;;;;;;;;;;
MCM2760-4M;Crystal Oscillator;Q-Tech;Y;;Y;;;;;;;;;;;;;;;;
LM158AJRLQMLV;Operational Amplifier;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
LM124AJRQMLV;Operational Amplifier;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
RH1013MH/MJH;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH310;Operational Amplifier;ST Microelectronics;Y;;;Y;;;;;;;;;;;;;;;
OP497BRC;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
AD648;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
PA10;Power Operational Amplifier;Apex;Y;;;Y;;;;;;;;;;;;;;;
RH1056A;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
AD524;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
OP400;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
SIB455EDK;Power MOSFET;Vishay;Y;;Y;;;;;;;;;;;;;;;;
SPT6235MS;Power BJT;SSID;Y;;Y;;;;;;;;;;;;;;;;
LS2805S;DC-DC Converter;International Rectifier;Y;;Y;;;;;;;;;;;;;;;;
JANS2N3866;NPN BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
2N5116;JFET;Vishay;Y;;Y;;;;;;;;;;;;;;;;
2N2222A;NPN BJT;SSDI;Y;;Y;;;;;;;;;;;;;;;;
2N2907A;PNP BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
2N2907;PNP BJT;Micro-Semi;Y;;Y;;;;;;;;;;;;;;;;
LT10091IDR;Voltage Reference;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
LM317KTTR;Voltage Regulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
TL750M05CKTRR;Low Dropout Voltage Regulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
LM117HRQMLV;Voltage Regulator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
LM136AH2.5QMLV;Voltage Reference;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
RH1021CMW-5/CMH-5;Voltage Reference;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RH1009MW/MH;Voltage Reference;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
RHFL4913ESY322/KP33 2;Voltage Regulator;ST Microelectronics;Y;;;Y;;;;;;;;;;;;;;;
RHF43B;Voltage Regulator;ST Microelectronics;Y;;;Y;;;;;;;;;;;;;;;
RH1021;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
66212;Optocoupler;Micropac;Y;;;;;;;;;;;;;Y;;;;;
HCPL-573K;Optocoupler;Avago;Y;;;;;;;;;;;;;Y;;;;;
RAM - 3+;RF Amplifier;Mini-Circuits;Y;;;;;;;;;;;;;Y;;;;;
UT54LVDS031LV/E;Quad Driver;Aeroflex;Y;;;;;Y;;;;;;;;;;;;;
MCM2760-4M;Oscillator;Q-Tech;Y;;;;;Y;;;;;;;;;;;;;
UT54ACS08;Quad AND Gate;Aeroflex;Y;;;;;Y;;;;;;;;;;;;;
LS2805;DC-DC Converter;Intersil;Y;;;;;Y;;;;;;;;;;;;;
2N5116;JFET;Vishay;Y;;;;;Y;;;;;;;;;;;;;
2N2222;NPN BJT;Semicoa;Y;;;;;Y;;;;;;;;;;;;;
2N2907A;PNP BJT;Micro-Semi;Y;;;;;Y;;;;;;;;;;;;;
RH1021;Voltage Reference;Linear Technology;Y;;;;;Y;;;;;;;;;;;;;
SPT6235MS;NPN BJT;SSDI;Y;;;;;Y;;;;;;;;;;;;;
JANS2N3866;NPN BJT;Semicoa;Y;;;;;Y;;;;;;;;;;;;;
AD7874;DAC;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
ADS7881;ADC;Texas Instruments;Y;;;;;;;;;H;;;;;;;;;
PE915X;Switching Regulator;Peregrine;Y;;;;;;;;;H;H;H;;;;;;;
MSK5059RH;Switching Regulator;M S Kennedy;Y;;;;;;;;;H;H;H;;;;;;;
MSK5820;Voltage Regulator;Linear Technology;Y;;;;;;;H;;;;;;;;;;;
SMRT2815T;DC-DC Converter;Crane;Y;;;;;;;H;;H;;;;;;;;;
SMRT283R3S;DC-DC Converter;Cranre;Y;;;;;;;H;;H;;;;;;;;;
SMSA2812D;DC-DC Converter;Crane;Y;;;;;;;H;;H;;;;;;;;;
MFP0507S;DC-DC Converter;Crane;Y;;;;;;;H;;H;;;;;;;;;
SLH2812D;DC-DC Converter;Crane;Y;;;;;;;H;;H;;;;;;;;;
SMFLHP2815S;DC-DC Converter;Crane;Y;;;;;;;H;;H;;;;;;;;;
MSK5978RH;Low Dropout Voltage Regulator;M S Kennedy;Y;;;;;;;H;;;;;;;;;;;
S2803R3S;DC-DC Converter;International Rectifier;Y;;;;;;;L;;;;;;;;;;;
SMSA2815S;DC-DC Converter;Crane;Y;;;;;;;L;;;;;;;;;;;
LTC2054HV;Operational Amplifier;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
HS9-1840ARH;Analog Multiplexer;Intersil;Y;;;;;;;L;;;;;;;;;;;
ISL28196;Voltage Comparator;Intersil;Y;;;;;;;L;;;;;;;;;;;
LTC6400-20;Differential Amplifier;Linear Technology;Y;;;;;;;L,P;;;;;;;;;;;
SIB455EDK;Power MOSFET;Vishay;Y;;;;;;;;;;;H;;;;;;;
Si7431DP;Power MOSFET;Vishay;Y;;;;;;;;;;;H;;;;;;;
SCF9550;Power MOSFET;Semicoa;Y;;;;;;;;;;;H;;;;;;;
2N270;Power MOSFET;Semicoa;Y;;;;;;;;;;;H;;;;;;;
STRH100N10FSY3;Power MOSFET;ST Microelectronics;Y;;;;;;;;;;;H;;;;;;;
STAR-250NDR;CMOS Imager;Cypress;Y;;;;;;;;;H;;;;;;;;;
PCM A33;Non-volatile Memory;Numonyx;Y;;;;;;;;;H;;;;;;;;;
NAND04GW3B2DN6;4Gbit Flash Memory;Numonyx;Y;;;;;;;;;H;;;;;;;;;
K9FG08UOM;8Gbit Flash Memory;Samsung;Y;;;;;;;;;H;;;;;;;;;
RAM-3+;MMIC Amplifier;Mini-Circuits;Y;;;;;;;L;;;;;;;;;;;
RAM-6+;MMIC Amplifier;Mini-Circuits;Y;;;;;;;L;;;;;;;;;;;
HMC422;MMIC Mixer;Hittite Microwave Corporation;Y;;;;;;;L;;;;;;;;;;;
MT29F4G08AAAWP;4Gbit Flash Memory;Micron;Y;;;;;;;;;H,L;;;;;;;;;
IS705RH;Power on Reset;Intersil;Y;;;;;;;H,L;;;;;;;;;;;
NC7SZ74;D Flip Flop;Fairchild Semicinductor;Y;;;;;;;;;H;;;;;;;;;
AD574;12 bit ADC;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
AD977;16 bit ADC;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
AD8138;Differential Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
AMP01;Instrumentation Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
SNV54LVTH162244AWD;Driver/Buffer Logic;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
PM139A;Voltage Comparator;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
AD667A;Voltage Comparator;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
DAC08;12 bit DAC;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
LM111;Voltage Comparator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
AD7760;24 bit ADC;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
LP2951WG;Low Dropout Voltage Regulator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
RH1078;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
HS9-4424B;Power MOSFET Driver;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
IRF1540NP;Power MOSFET;International Rectifier;Y;;Y;;;;;;;;;;;Y;;;;;
RH1009MW;Voltage Reference;Linear Technology;Y;;Y;Y;;;;;;;;;;;;;;;
IS2-1009RH;Voltage Reference;Intersil;Y;;Y;Y;;;;;;;;;;Y;;;;;
AD588;Voltage Reference;Analog Devices;Y;;;Y;;;;;;;;;;Y;;;;;
LP2951WG;Voltage Regulator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
LP2953AWMG;Low Dropout Voltage Regulator;National Semiconductor;Y;;;Y;;;;;;;;;;;;;;;
LT1963;Low Dropout Voltage Regulator;Linear Technology;Y;;Y;Y;;;;;;;;;;;;;;;
LT1175;Voltage Regulator;Linear Technology;Y;;Y;Y;;;;;;;;;;;;;;;
RHFL4913K;Voltage Regulator;ST Microelectronics;Y;;Y;Y;;;;;;;;;;;;;;;
LM1577K;Switching Regulator;National Semiconductor;Y;;Y;Y;;;;;;;;;;;;;;;
QS4A210;Multiplexer/Demultiplexer;Integrated Device Technology;Y;;Y;;;;;;;;;;;;;;;;
LT6233I;Operational Amplifier;Linear Technology;Y;;Y;Y;;;;;;;;;;;;;;;
AD648T;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
PM108A;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
OP470;Operational Amplifier;Intersil;Y;;;Y;;;;;;;;;;;;;;;
OP470A;Operational Amplifier;Analog Devices;Y;;Y;Y;;;;;;;;;;;;;;;
OP400A;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
OP484A;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;;;;;
RH1814;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;;;;;
OP484AMQMLR;Operational Amplifier;Analog Devices;Y;;Y;Y;;;;;;;;;;;;;;;
HV801;Optocoupler;;Y;;;;;;;;;;;;;Y;;;;;
IS9-1825A;Pulse Width Modulator;Intersil;Y;;;Y;;;;;;;;;;;;;;;
IS9-1825A;Pulse Width Modulator;Instersil;Y;;;Y;;;;;;;;;;;;;;;
AD590;Temperature Transducer;Analog Devices;Y;;Y;Y;;;;;;;;;;;;;;;
2N2369;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
2N3700;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
2N2222A;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
2N2222;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
2N2920;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
2N3810;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
MSK582-2.5KRHS;Low Dropout Voltage Regulator;M S Kennedy;Y;;;Y;;;;;;;;;;;;;;;
AD625SQ;Voltage to Frequency Converter;Analog Devices;Y;;Y;Y;;;;;;;;;;;;;;;
AD537;Voltage to Frequency Converter;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
TXB0108;Level Translator;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
TXS0108;Level Translator;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
M74HC157RM13TR;Multiplexer Logic;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
2N7002;Power MOSFET;Fairchild Semicinductor;Y;;Y;;;;;;;;;;;;;;;;
ATMega 1280;Microcontroller;Atmel;Y;;Y;;;;;;;;;;;;;;;;
PIC16F88;Microcontroller;Microchip;Y;;Y;;;;;;;;;;;;;;;;
OMAP3350;Digital Signal Processor;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
Nano-RTU;Microcontroller;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
AT25FS010N;1 Mbit Flash Memory;Atmel;Y;;;Y;;;;;;;;;;;;;;;
AT24C01B-PU;128x8 EEPROM;Atmel;Y;;;Y;;;;;;;;;;;;;;;
AT24C64B-PU;8Kx8 EEPROM;Atmel;Y;;;Y;;;;;;;;;;;;;;;
AT24C256B-PU;32Kx8 EEPROM;Atmel;Y;;;Y;;;;;;;;;;;;;;;
CAT24C01LI-G;128x8 EEPROM;ON Semi;Y;;;Y;;;;;;;;;;;;;;;
CAT24C128LI-G;8Kx8 EEPROM;ON Semi;Y;;;Y;;;;;;;;;;;;;;;
24LC256-E/P;32Kx8 EEPROM;Microchip;Y;;Y;;;;;;;;;;;;;;;;
M24C64-WBN6P;8Kx8 EEPROM;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
BR24L64-W;8Kx8 EEPROM;ROHM;Y;;Y;;;;;;;;;;;;;;;;
PCF859C-2P/02112;1Kx8 EEPROM;ROHM;Y;;Y;;;;;;;;;;;;;;;;
;RHMSI Family Fab9/10;Aeroflex;Y;;;;;;;;;H;;;;;;;;;
;KNXX Family Fab9/10;Aeroflex;Y;;;;;;;;;H;;;;;;;;;
;JMXX Family Fab9/10;Aeroflex;Y;;;;;;;;;H;;;;;;;;;
;KEXX Family Fab9/10;Aeroflex;Y;;;;;;;;;H;;;;;;;;;
;Summit Family Fab9/10;Aeroflex;Y;;;;;;;;;H;;;;;;;;;
;0.6um ASIC Gate Array Technology;Aeroflex;Y;;;;;;;;;;;;;;;;;;
UT54ACS193E Fab 10;Synch 4-bit Up-Down Dual Clock;Aeroflex;Y;;;;;;;H;;;;;;;;;;;
UT54ACS164E Fab 10;8-bit Shift Register;Aeroflex;Y;;;;;;;H;;;;;;;;;;;
UT54ACS109E Fab 10;Dual J-K Flip Flop;Aeroflex;Y;;;;;;;H;;;;;;;;;;;
UT54ACTS14E Fab 10;Hex Inverter Schmidt Trigger;Aeroflex;Y;;;;;;;H;;;;;;;;;;;
UT54ACS164245SEI;16 Bit Transceiver Fab9/10;Aeroflex;Y;;;;;;;H;;;;;;;;;;;
HS-1840ARH;16 channel multiplexer;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-26CT31RH;RS-422 line driver;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-565BRH;12-bit D/A converter;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-139RH;Voltage Comparator;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-117RH;Voltage Regulator;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
ISL7124SRH;Operational Amplifier;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
IS-1845ASRH;Pulse Width Modulator;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
IS-1825ASRH;Pulse Width Modulator;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-3530ARH;Operational Amplifier;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
IS-2100ARH;Power MOSFET Driver;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-26CLV31RH;RS-422 line driver;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
HS-470ARH;Operational Amplifier;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
IS-1009RH;Voltage Reference;Intersil;Y;;Y;Y;;;;;;;;;;;;;;;
XQR5VFX130;FPGA;Xilinx;Y;;;;;;;;H;H;;;;;;;;;
iCE65l04VF-LCB284C;FPGA;SiliconBlue;Y;;;;;;;;;H;;;;;;;;;
EP4SGX230KF40;FPGA;Altera;Y;;;;;;;;;H;;;;;;;;;
MT29F4G08AAA;NAND Flash Memory;Micron;Y;;;;;;;;;H;;;;;;;;;
MT29F4G08ABADA;NAND Flash Memory;Micron;Y;;;;;;;;;H;;;;;;;;;
K9F8G08U0M;NAND Flash Memory;Samsung;Y;;;;;;;;;H;;;;;;;;;
HCPL-523;Optocoupler;Avago;Y;;;;;;;;;;;;;Y;;;;;
LM10;Operational Amplifier;Texas Instruments;Y;;;Y;;;;;;;;;;;Y;;;;
OP484;Operational Amplifier;Analog Devices;Y;;;Y;;;;;;;;;;;Y;;;;
AD590;Temperature Transducer;Analog Devices;Y;;;Y;;;;;;;;;;;Y;;;;
IS-2981;Driver/Buffer;Intersil;Y;;;Y;;;;;;;;;;;Y;;;;
HS-303ARH;Analog Switch;Intersil;Y;;;Y;;;;;;;;;;;Y;;;;
AD580T;Voltage Reference;Analog Devices;Y;;;Y;;;;;;;;;;;Y;;;;
RH1056;Operational Amplifier;Linear Technology;Y;;;Y;;;;;;;;;;;Y;;;;
RH1086;Low Dropout Voltage Regulator;Linear Technology;Y;;;Y;;;;;;;;;;;Y;;;;
ISL-72991;Low Dropout Voltage Regulator;Intersil;Y;;;Y;;;;;;;;;;;Y;;;;
PA07M;Power Operational Amplifier;Apex;Y;;;Y;;;;;;;;;;;Y;;;;
IS9-1825ARH;Pulse Width Modulator;Intersil;Y;;;Y;;;;;;;;;;;Y;;;;
HS9-OP470;Operational Amplifier;Intersil;Y;;;Y;;;;;;;;;;;Y;;;;
AD7847;12 bit DAC;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
HELKI-X;ADC;Tower Jazz;Y;;Y;;;;;;;;;;;;;;;;
K9F8G08UOM;8 Gb SLC NAND Flash;Samsung;Y;;Y;;;;;;;;;;;;;;;;
M379T2863FB3-CF7;1GB DDR2;Samsung;Y;;Y;;;;;;;;;;;;;;;;
MT29F16G08ABABA;16 Gb SLC NAND Flash;Micron;Y;;Y;;;;;;;;;;;;;;;;
53111;Solis State Relay;Micropac;Y;;Y;;;;;;;;;;;Y;;;;;
A3PE1500;FPGA;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
AD8465;Voltage Comparator;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
;FET Arrray Test Chip;Tower Jazz;Y;;Y;;;;;;;;;;;;;;;;
MAX9202ESD;Voltage Comparator;Maxim;Y;;Y;;;;;;;;;;;;;;;;
NC7SZ74;Flip-Flop;Fairchild Semicinductor;Y;;Y;;;;;;;;;;;;;;;;
OC100HG;Optocoupler;Voltage Multiplier Inc.;Y;;;;;;;;;;;;;Y;;;;;
OMH3075S;Hall-Effect Switch;Optek;Y;;Y;;;;;;;;;;;;;;;;
UC1524A;Pulse Width Modulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
UC1526/883B;Pulse Width Modulator;Texas Instruments;Y;;;Y;;;;;;;;;;;;;;;
UT54ACS08;Quad AND Gate;Aeroflex;Y;;Y;;;;;;;;;;;;;;;;
AD524;Instrumentation Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
AD648T;Operational Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
AD823AR;Operational Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
AD847SQ;Operational Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
CA308OAS3;Operational Amplifier;Intersil;Y;;Y;;;;;;;;;;;;;;;;
LTC2054;Operational Amplifier;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
OP15S;Operational Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
OP200;Operational Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
OP462HRU;Operational Amplifier;Analog Devices;Y;;Y;;;;;;;;;;;;;;;;
RH1078MH;Operational Amplifier;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RH1078MW;Operational Amplifier;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RHF310;Operational Amplifier;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
RHF43B;Operational Amplifier;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
CMF20120D;Power MOSFET;Cree;Y;Y;;;;;;;;;;;;;;;;;
Si7431DP;Power MOSFET;Vishay;Y;Y;;;;;;;;;;;;;;;;;
SUM45N25;Power MOSFET;Vishay;Y;Y;;;;;;;;;;;;;;;;;
2N2222;NPN BJT;Semicoa;Y;Y;;;;;;;;;;;;;;;;;
2N2222AJSR;NPN BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
2N2369;NPN BJT;Semicoa;Y;Y;Y;;;;;;;;;;;;;;;;
2N2857;NPN BJT;Semicoa;Y;Y;Y;;;;;;;;;;;;;;;;
2N2907AJSR;PNP BJT;Semicoa;Y;Y;Y;;;;;;;;;;;;;;;;
2N5153;PNP BJT;Semicoa;Y;Y;Y;;;;;;;;;;;;;;;;
2N5154;NPN BJT;Semicoa;Y;Y;Y;;;;;;;;;;;;;;;;
BFR92A;NPN BJT;NXP;Y;Y;;;;;;;;;;;;;;;;;
BFT92;PNP BJT;NXP;Y;Y;;;;;;;;;;;;;;;;;
JANTXV2N2222AUB;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
JANTXV2N2907AUB;PNP BJT;Semicoa;Y;;Y;;;;;;;;;;;;;;;;
JANTXV2N3501UB;NPN BJT;Microsemi;Y;;Y;;;;;;;;;;;;;;;;
SFT5015-39TXV;NPN BJT;Solid State Devices;Y;;Y;;;;;;;;;;;;;;;;
SFT5015-4TXV;NPN BJT;Solid State Devices;Y;;Y;;;;;;;;;;;;;;;;
SFT5094-4TXV;PNP BJT;;Y;;Y;;;;;;;;;;;;;;;;
AD586T;Voltage Reference;Analog Devices;Y;Y;;;;;;;;;;;;;;;;;
AD589;Voltage Reference;Analog Devices;Y;Y;;;;;;;;;;;;;;;;;
LM117HRQMLV;Voltage Regulator;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
LM136AH2.5QMLV;Voltage Reference;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
LM317KTTR;Voltage Regulator;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
LTC1877;Voltage Regulator;Linear Technology;Y;Y;;;;;;;;;;;;;;;;;
LT10091IDR;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
LTZ1000;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RH1009MH;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RH1009MW;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RH1021CMW-5;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RH1021CMW-5;Voltage Reference;Linear Technology;Y;;Y;;;;;;;;;;;;;;;;
RHFL4913ESY332;Voltage Regulator;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
RHFL4913KP332;Voltage Regulator;ST Microelectronics;Y;;Y;;;;;;;;;;;;;;;;
TL750L05CDR;Low Dropout Voltage Regulator;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
TL750M05CKTRR;Low Dropout Voltage Regulator;Texas Instruments;Y;;Y;;;;;;;;;;;;;;;;
SUM45N25-58;Power MOSFET;Vishay;Y;;;;;;;;;;H;;;;;;;;
IRH7250;Power MOSFET;International Rectifier;Y;;;;;;;;;;;H;;;;;;;
VRG8662;Low Dropout Voltage Regulator;Aeroflex;Y;;;;;;;H;;;;;;;;;;;
LM6142;Operational Amplifier;Texas Instruments;Y;;;;;;;H;;;;;;;;;;;
AD8465;Voltage Comparator;Analog Devices;Y;;;;;;;;;H;;;;;;;;;
SST211;Analog Switch;Linear Systems;Y;;;;;;;H;;;;;;;;;;;
MSK5059RH;Switching Regulator;MS Kennedy;Y;;;;;;;L;;;;;;;;;;;
MSK5058RH;Switching Regulator;MS Kennedy;Y;;;;;;;L;;;;;;;;;;;
TPS7A4901;Low Dropout Voltage Regulator;Texas Instruments;Y;;;;;;;H;;;;;;;;;;;
LTC1877;Switching Regulator;Linear Technology;Y;;;;;;;;;H;;;;;;;;;
